dt,individual,canopy,period,condition,Obs#,Time,Date,configName,configAuthor,remark,Observation,...13,...14,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,month,day,instrument
2026-06-22T14:58:04Z,1,Upper,morning,predrought,11,07:58:04,2026-06-22,Auto gsw+F,LI-COR Default,NA,11,NA,NA,0.023699,2.919024,0.023508,0.173263,2.529425,2.525219,3.160405,0.63098,28.547737,28.595289,35.728554,0.441786,7.5,PSF-00548_20260622075804_b1d,0,0,0,103.220703,444.327606,0.767692,0.5,0.8,12.838297,1,80.81,80.67,24.74,24.9,24.9,88.46,156.4,155.3,0.7,42,4.089,07:53:00,2026-06-22,0.37,1,0,0.003,-0.003,0.056,0.163,0.417,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,444.327606,25,4.163459,447.054871,450.286224,-3.231354,2.509365,2.492385,1.657152,0.928495,0.275599,0.0023,0.062096,0.143933,103.220703,2.24e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075804_b1d,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:58:21Z,1,Upper,morning,predrought,12,07:58:21,2026-06-22,Auto gsw+F,LI-COR Default,NA,12,NA,NA,0.051517,2.919923,0.050624,0.426473,2.443253,2.432897,3.16484,0.721587,27.503099,27.620178,35.777485,0.441786,7.5,PSF-00548_20260622075821_0e2,0,0,0,115.926506,480.68869,0.758832,0.5,0.8,8.493052,1,77.7,77.37,24.81,24.92,24.92,88.46,156.5,155.3,0.8,28,4.087,07:53:00,2026-06-22,0.37,1,-0.003,0.002,-0.013,0.246,0.349,0.941,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,480.68869,25,4.523444,482.273346,487.162506,-4.88916,2.504984,2.4883,1.658079,0.928436,0.274772,0.001721,0.063993,0.131789,115.926506,2.22e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075821_0e2,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:59:07Z,3,Lower,morning,predrought,13,07:59:07,2026-06-22,Auto gsw+F,LI-COR Default,NA,13,NA,NA,-0.032812,2.919883,-0.033185,-0.269436,2.508954,2.515492,3.203984,0.69503,28.436653,28.36274,36.219788,0.441786,7.5,PSF-00548_20260622075907_744,0,0,0,128.866196,548.319458,0.76498,0.5,0.8,1.327142,1,78.78,78.99,25.03,25.13,25.13,88.46,156.5,155,0.9,4,4.087,07:53:00,2026-06-22,0.37,1,0.002,0.003,-0.018,1.26,2.693,5.833,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,548.030762,25,-0.436345,545.443665,547.694946,-2.251282,2.507048,2.489655,1.658038,0.927918,0.272443,0.001635,0.069448,0.111024,128.866196,2.22e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075907_744,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:59:32Z,3,Lower,morning,predrought,14,07:59:32,2026-06-22,Auto gsw+F,LI-COR Default,NA,14,NA,NA,0.041485,2.919004,0.040904,0.359724,2.450904,2.442163,3.203973,0.753069,27.607925,27.706741,36.219971,0.441786,7.5,PSF-00548_20260622075932_479,0,0,0,208.955521,607.123352,0.655827,0.5,0.8,0.545767,1,76.47,76.2,25.13,25.13,25.13,88.46,156.4,155.2,0.7,2,4.085,07:53:00,2026-06-22,0.37,1,0.001,-0,0.014,1.569,3.687,7.894,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,607.123352,25,1.181768,602.484924,608.814636,-6.329712,2.503324,2.486594,1.657131,0.928359,0.271279,4.35e-4,0.072301,0.109042,208.955521,2.25e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075932_479,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:59:46Z,3,Lower,morning,predrought,15,07:59:46,2026-06-22,Auto gsw+F,LI-COR Default,NA,15,NA,NA,-0.003396,2.919813,-0.0034,-0.030442,2.44639,2.447129,3.213052,0.766662,27.663994,27.655638,36.322498,0.441786,7.5,PSF-00548_20260622075946_5ef,0,0,0,110.089302,523.915466,0.789872,0.5,0.8,2.109453,1,76.06,76.09,25.19,25.18,25.18,88.46,156.5,155.2,0.8,7,4.084,07:53:00,2026-06-22,0.37,1,-0.001,-0,-0.011,0.682,1.254,2.935,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,523.603333,25,-0.189083,522.156372,523.644836,-1.488464,2.50316,2.486046,1.657965,0.928253,0.270647,3.11e-4,0.073831,0.113079,110.089302,2.22e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075946_5ef,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:00:24Z,3,Upper,morning,predrought,16,08:00:24,2026-06-22,Auto gsw+F,LI-COR Default,NA,16,NA,NA,0.014814,2.919906,0.014739,0.119281,2.63652,2.63363,3.328186,0.691666,29.775944,29.808617,37.62862,0.441786,7.5,PSF-00548_20260622080024_dfb,0,0,0,113.186005,490.608337,0.769295,0.5,0.8,6.603155,1,81.13,81.04,25.37,25.77,25.77,88.45,156.5,155.1,0.9,21,4.083,07:53:00,2026-06-22,0.37,1,0.01,0.005,0.001,0.115,0.407,1.294,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,489.010345,25,-1.178132,488.353363,488.922241,-0.568878,2.509653,2.49264,1.658062,0.928086,0.26878,0.004986,0.078241,0.126061,113.186005,2.25e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080024_dfb,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:00:34Z,3,Upper,morning,predrought,17,08:00:34,2026-06-22,Auto gsw+F,LI-COR Default,NA,17,NA,NA,0.02142,2.918778,0.021264,0.181583,2.625935,2.621531,3.355714,0.729779,29.638315,29.688103,37.938789,0.441786,7.5,PSF-00548_20260622080034_899,0,0,0,107.675674,482.303375,0.776747,0.5,0.8,6.23519,1,80.57,80.43,25.42,25.91,25.91,88.45,156.3,155,0.9,20,4.082,07:53:00,2026-06-22,0.37,1,0.002,0.002,0.013,0.437,1.063,1.964,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,482.303375,25,0.367257,482.416382,482.828979,-0.412598,2.508831,2.491887,1.656899,0.9278,0.26825,0.00599,0.079342,0.12484,107.675674,2.23e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080034_899,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:00:44Z,3,Upper,morning,predrought,18,08:00:44,2026-06-22,Auto gsw+F,LI-COR Default,NA,18,NA,NA,0.006889,2.918287,0.006873,0.060176,2.642267,2.640807,3.390297,0.74803,29.857595,29.874098,38.331505,0.441786,7.5,PSF-00548_20260622080044_7ee,0,0,0,139.551041,539.572449,0.741367,0.5,0.8,5.644228,1,80.83,80.78,25.47,26.08,26.08,88.45,156.3,154.3,1.2,19,4.081,07:53:00,2026-06-22,0.37,1,-0.004,-0.001,-9999,2.206,4.655,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,539.572449,25,3.119867,539.166199,544.037476,-4.871277,2.509273,2.492208,1.656394,0.926179,0.267706,0.007364,0.080444,0.123931,139.551041,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080044_7ee,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:02:29Z,4,Lower,morning,predrought,19,08:02:29,2026-06-22,Auto gsw+F,LI-COR Default,NA,19,NA,NA,0.00106,2.918968,0.001059,0.009571,2.603231,2.602999,3.375486,0.772255,29.421976,29.424601,38.153481,0.441786,7.5,PSF-00548_20260622080229_1e8,0,0,0,123.762131,564.006714,0.780566,0.5,0.8,0.796038,1,77.4,77.39,25.95,26.01,26.01,88.47,156.4,155.4,0.6,3,4.08,07:53:00,2026-06-22,0.37,1,0.01,0.004,0.012,1.605,3.526,7,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,564.006714,25,-0.02909,560.879578,563.965088,-3.08551,2.504636,2.487579,1.657095,0.928802,0.26264,0.001145,0.092752,0.109454,123.762131,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080229_1e8,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:02:41Z,4,Lower,morning,predrought,20,08:02:41,2026-06-22,Auto gsw+F,LI-COR Default,NA,20,NA,NA,-0.005204,2.918487,-0.005213,-0.04611,2.629238,2.630357,3.385187,0.755949,29.732214,29.719568,38.264435,0.441786,7.5,PSF-00548_20260622080241_eb0,0,0,0,128.761047,565.533447,0.772319,0.5,0.8,0.858451,1,77.92,77.96,26,26.05,26.05,88.47,156.3,155,0.8,3,4.079,07:53:00,2026-06-22,0.37,1,-0.003,-0.004,0.007,1.473,3.294,7.127,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,562.960266,25,-2.548982,557.984924,561.885437,-3.900513,2.505366,2.488253,1.6566,0.927883,0.26208,0.001086,0.094029,0.109655,128.761047,2.25e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080241_eb0,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:02:58Z,4,Lower,morning,predrought,21,08:02:58,2026-06-22,Auto gsw+F,LI-COR Default,NA,21,NA,NA,-0.038368,2.920259,-0.038878,-0.347644,2.638904,2.647327,3.403033,0.764128,29.921329,29.826132,38.462669,0.441786,7.5,PSF-00548_20260622080258_a0b,0,0,0,110.754845,527.997864,0.790236,0.5,0.8,0.610253,1,77.86,78.11,26.07,26.14,26.14,88.48,156.5,154.9,1,2,4.078,07:53:00,2026-06-22,0.37,1,-0.007,0.001,-9999,0.857,1.997,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,526.730774,25,-0.778149,525.013794,526.884216,-1.870422,2.505548,2.488154,1.658425,0.927655,0.2613,0.001241,0.095893,0.108911,110.754845,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080258_a0b,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:03:57Z,4,Upper,morning,predrought,22,08:03:57,2026-06-22,Auto gsw+F,LI-COR Default,NA,22,NA,NA,-0.032175,2.920327,-0.032534,-0.2443,2.841747,2.84765,3.482231,0.640484,32.192566,32.125832,39.366482,0.441786,7.5,PSF-00548_20260622080357_e95,0,0,0,107.113121,462.300507,0.768304,0.5,0.8,6.353629,1,82.38,82.55,26.37,26.53,26.53,88.46,156.5,154.9,1.1,21,4.077,08:03:46,2026-06-22,0.27,1,-0.003,-0.001,-0.013,0.286,0.471,1.005,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,460.552094,25,-1.050864,459.731354,460.796539,-1.065186,2.511322,2.494133,1.658496,0.927519,0.258205,0.00225,0.102758,0.125372,107.113121,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080357_e95,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T15:04:09Z,4,Upper,morning,predrought,23,08:04:09,2026-06-22,Auto gsw+F,LI-COR Default,NA,23,NA,NA,0.012882,2.920107,0.012825,0.100566,2.872043,2.869614,3.540479,0.668436,32.442242,32.469707,40.026669,0.441786,7.5,PSF-00548_20260622080409_bd6,0,0,0,112.590553,495.5914,0.772816,0.5,0.8,4.716517,1,82.94,82.87,26.44,26.82,26.82,88.45,156.5,155,0.9,15,4.047,08:03:46,2026-06-22,0.27,1,0.004,0.004,-9999,0.384,0.792,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,495.5914,25,0.312714,495.453369,496.03894,-0.585571,2.511722,2.494853,1.658268,0.927909,0.257538,0.004696,0.103957,0.120615,112.590553,2.25e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622080409_bd6,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
